,YLD_KM,YLD_M,TW_KM,TW_M,HD_M,MD_KM,MD_M,PH_KM,PH_M
1,0.284449322990328,0.227664732081211,0.381979168480063,0.401215334111744,0.553172316850308,0.102297972387264,0.224848302993305,0.685861197175911,0.664908170893692
2,0.489214889758547,0.441626892996663,0.333369522548452,0.352079110056543,0.660401853929502,0.237992009444371,0.384093643876259,0.593777344742818,0.605118080351234
3,0.608576790072914,0.538046777107851,0.357843900279305,0.336158991825239,0.676845233752326,0.145601353375319,0.268194703629906,0.619355591884705,0.637981641743883
4,0.559596717056336,0.527341975043827,0.118347407923658,0.153742268879642,0.607208931193865,0.349846855928824,0.270117874743737,0.516971284797689,0.504194426879285
5,0.627406671413845,0.579477587459313,0.318823303857639,0.313824909340503,0.492481820288361,0.331962300759856,0.230234813484633,0.64911039679517,0.625379041632808
6,0.492605562770482,0.466857075354437,0.420219743712057,0.45183315159924,0.641968938842253,0.516856035798302,0.445427575620823,0.638451428858515,0.634903700190652
7,0.534140899920489,0.545131855022346,0.261137743470553,0.208749327701021,0.661058183620676,0.367931541785012,0.32439388208574,0.555403536634216,0.566808683466488
8,0.616495132341093,0.592083372561234,0.328432336647487,0.328227978691834,0.518860528340115,0.188911576641395,0.184792503607087,0.568969731282152,0.588358600405871
9,0.54198762388199,0.451750025675897,0.289472481552553,0.369825913595323,0.493778680243803,0.236300707898441,0.257563263333299,0.684060374567366,0.675431395669852
10,0.385876160483596,0.348497069963657,0.214921602131645,0.246141274080888,0.655254218161306,0.362128923176466,0.365851303082679,0.670047108666722,0.692842011655424
11,0.491735756095571,0.450608469280565,0.268351079937359,0.221570009309627,0.653514305198125,0.210119861078981,0.485126950960547,0.540725368457131,0.54911477425098
12,0.508334829112516,0.486860852406816,0.338279782465316,0.380893228997385,0.658893112434779,0.156549268765655,0.346701447088355,0.446549334938184,0.479781810948385
13,0.602483929154114,0.603130721097205,0.495705343418128,0.427350615532205,0.564464327130276,0.157285310465232,0.170618228472727,0.6852838411309,0.68255443829624
14,0.634825195505059,0.559341055519041,0.228500012356125,0.205594120073603,0.609027570939795,0.373851035642541,0.43234649963391,0.503496366694716,0.515274507074259
15,0.50796378105167,0.4662070016307,0.290639570346161,0.282376726531322,0.637867190233661,0.187177264802015,0.266814502541695,0.582076524937606,0.58689274276478
16,0.572084101752832,0.525175048643747,0.475705170139967,0.399517759907733,0.67766667005672,0.236052104156258,0.37927622282001,0.629458563282545,0.628631897212451
17,0.598395687167286,0.600305570897145,0.219600373271429,0.21700102434644,0.46077395802862,0.250841471277026,0.203928280682387,0.676164255522562,0.684678869789178
18,0.615673541694116,0.57713632699932,0.389208147066662,0.318110684040917,0.674635737983512,0.36110508211229,0.351817402994007,0.681608169996524,0.689905307064629
19,0.638359684254206,0.649599158444976,0.318550835103218,0.212928741199967,0.712404995118287,0.518650226518566,0.368043638698014,0.597511908316484,0.593106515039786
20,0.375468266180774,0.394847940191204,0.445960095997798,0.469973222049737,0.549272363466624,0.200721913393823,0.229500828530275,0.497275257410677,0.508115299604248
21,0.55744760336136,0.521771976540072,0.336957329326643,0.333356184977439,0.598976341421547,0.342095670108996,0.196856730453296,0.61771886916356,0.635121257878589
22,0.459473283856213,0.458925144116401,0.192992659605217,0.20762401986021,0.644659242276654,0.268168275360299,0.331056836662844,0.610104880280176,0.612685147695097
23,0.498270105173178,0.411780279557876,0.336798290837397,0.361480114494157,0.431594293336781,0.346651728147346,0.277848854604913,0.641442569923739,0.638130427642473
